Country,Features,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Indonesia,distribution losses ,1.487,1.999,2.189,2.728,2.956,3.27,3.318,3.165,4.273,4.411,4.574,5.424,4.964,4.481,6.471,6.874,7.197,8.795,8.783,9.72,10.849,13.145,17.572,19.569,14.242,14.237,14.736,15.239,15.094,15.048,15.954,16.672,17.847,20.701,21.423,22.057,22.706,21.48505,22.863814,26.126675,25.263376,26.01533143
        Japan,distribution losses ,25.39,23.902,24.837,26.478,24.391,28.6,29.079,30.498,29.724,31.904,40.764,42.737,42.884,42.643,44.465,45.537,44.499,47.542,47.963,47.43,46.949,45.35,49.608,49.786,48.862,48.19,48.009,48.728,49.105,48.333,47.149,46.834,43.244,47.518,43.334,40.587,45.6,40.642409,45.010119,44.095486,46.264556,41.7788319
        Laos,distribution losses ,0.06776,0.07973,0.08316,0.07427,0.06846,0.06265,0.05999,0.03983,0.03675,0.04893,0.06013,0.06426,0.06286,0.06349,0.06223,0.07511,0.08603,0.08428,0.13769,0.17983,0.18585,0.25572,0.23983,0.23917,0.29776,0.322,0.33,0.32,0.33,0.362,0.571,0.649,0.948,0.907,1.106,2.565,1.859,2.249132,2.491774,2.261707,2.894336,2.75460326
        North Korea,distribution losses ,1.999,2.057,2.124,2.182,2.221,2.369,2.53,2.6,2.632,2.729,2.589,2.458,3.25,2.908,3.122,3.194,3.043,2.839,2.632,2.852,3.066,3.193,3.126,3.319,3.473,3.621,3.546,3.402,3.668,3.022,3.084,2.782,2.838,2.697,2.627,2.027,2.531,2.283,2.377,2.146,2.403,2.34225062
        Pakistan,distribution losses ,4.355,4.143,4.398,4.94,5.489,4.667,5.191,6.249,7.172,6.949,5.808,8.154,10.832,11.545,12.192,12.994,13.854,15.298,19.898,17.554,16.546,18.879,20.041,20.371,21.037,22.506,21.912,18.742,19.396,18.957,15.315,16.054,16.372,16.932,17.627,17.209,23.582,21.11,16.773,17.389,18,18.358
        Philippines,distribution losses ,0.306,2.15,2.476,2.804,3.133,3.746,3.598,4.338,4.348,3.797,3.225,3.203,4.091,3.915,4.734,5.735,6.128,6.593,5.85,6.119,6.345,5.704,5.97,6.81,7.227,6.817,6.885,7.608,7.68,7.542,7.8,7.68,8.36,7.741,7.455,7.481,8.288,8.261747,9.00658,9.994347,9.741721,9.741721
        Singapore,distribution losses ,0.337,0.381,0.415,0.483,0.522,0.487,0.544,0.564,0.593,0.828,0.906,1.205,0.756,0.686,0.782,0.853,0.928,0.974,1.019,0.976,1.152,1.987,2.274,1.946,2.168,1.194,1.062,1.182,1.061,1.327,2.279,1.168,0.859,1.103,1.004,0.889,0.984,0.652488,0.569419,0.570835,0.500511,0.566935392
        South Korea,distribution losses ,2.408,2.576,2.7,3.324,3.291,3.322,2.898,3.007,3.54,4.756,3.633,2.734,2.53,8.192,7.472,8.85,10.504,10.945,12.554,10.068,12.451,12.09,13.904,11.032,12.794,13.728,14.587,15.345,16.106,16.77,18.034237,17.430383,17.291504,18.310888,18.270413,17.97921,18.474843,18.790097,18.1830881,19.000475,18.609971,19.633793
        Taiwan,distribution losses ,2.786,2.62,2.655,3.098,3.193,2.873,2.937,3.702,3.885,4.812,5.355,5.756,5.919,5.915,6.435,7.079,7.656,6.896,8.8,8.407,8.256676103,8.105765108,8.804949988,8.751094501,8.937121304,9.036052929,9.538676815,9.5901492,8.584159808,9.413301868,9.663413035,10.14864481,9.360338775,7.25093101,8.959804289,8.146752483,8.684563973,8.827302428,9.200442651,8.984018681,9.482015958,8.815791461
        Vietnam,distribution losses ,0.629,0.678,0.714,0.726,0.912,0.928,1.104,1.102,1.27,1.685,2.205,2.351,2.486,2.56,2.764,3.179,3.264,3.482,3.49,3.539,3.657,4.243,5.012,5.272,6.01,6.258,6.863,7.445,7.401,7.985,9.597,9.937,10.715,11.502,12.877,12.934,13.648,14.123,15.403,15.479,15.687,16.31728571
